legajo,apellido,nombre,telefono,dni,curso_id
1070,Wakerley,Malia,1216762849,176324970,9
1071,Godball,Carmelina,4249908924,138901636,2
1072,Yekel,Leontine,3334304645,442336930,5
1073,Van de Castele,Marla,7221690941,336020701,7
1074,Vickress,Ky,5157930818,388701545,8
1075,O'Grady,Arny,9624591941,335715967,4
1076,Rouf,Gran,9494116385,930757806,5
1077,Degoe,Julianna,2632144263,43714116,6
1078,Monini,Codie,5554559126,95258809,10
1079,Gilhespy,Dixie,8448494149,25388205,5
1080,Peart,Teador,6399439546,951211570,7
1081,Cianelli,Mahala,1387882195,533704363,5
1082,Skeels,Lind,8105114707,377599022,10
1083,Heaysman,Jareb,7574790266,596813176,2
1084,Pettisall,Ruddy,8919959662,658364563,1
1085,Seater,Mimi,6967082249,166630632,7
1086,Dannel,Juliette,9656115447,513529691,2
1087,Sander,Emlynn,8535492402,494177001,10
1088,Grzelczyk,Shawnee,8802371730,364134033,7
1089,Hollyer,Konstanze,7867307205,73689511,6
1090,Smithson,Rodger,4276686174,260524595,3
1091,Stallybrass,Carrie,3306836265,388561007,9
1092,Spadazzi,Glenn,5667433336,500680017,4
1093,Giorgeschi,Dieter,5037141751,743447652,9
1094,Martland,Thacher,2812216320,441045697,3
1095,Shirtliff,Wake,9059432075,99388636,4
1096,Melhuish,Falkner,8314605243,253419931,6
1097,Escritt,Mitzi,1743563981,183595671,9
1098,Ballantyne,Robinia,3713300542,30523046,8
1099,Fontin,Merrick,2205494753,860275638,8
1100,Argabrite,Berke,2752496593,900212748,5
1101,Sarjeant,Jerrylee,6825995142,381519652,4
1102,Twidell,Rorie,5395476621,606684006,8
1103,Faltin,Valene,5485540391,715909262,4
1104,Keerl,Celestia,9406625667,510061574,9
1105,Bartczak,Ade,7895219950,855936568,9
1106,Courvert,Cordi,2021637091,200295970,10
1107,Jenkerson,Floyd,5925085454,739590786,6
1108,Gillebride,Glori,1015849143,519490529,1
1109,Davenhill,Guinna,5006807862,138873058,2
1110,McRitchie,Richard,8608310327,675602398,1
1111,Corten,Brien,7545433231,509250464,4
1112,Crossley,Felicity,5541417348,481181770,7
1113,Siege,Candida,6246895859,638957218,10
1114,McKerrow,Kerrin,4279969002,138731328,4
1115,Corby,Emlen,7617239382,549228512,9
1116,Folds,Artemas,3721607834,970223374,8
1117,Connell,Marketa,6991107614,829347087,9
1118,Gianiello,Eddi,4995594190,896749672,10
1119,Derwin,Meade,4965879631,477391361,8
1120,Hassekl,Valentine,9922676481,671038677,6
1121,Redmond,Johan,2031274760,60622124,10
1122,Hand,Alanah,5685833175,376825339,6
1123,Klagge,Rosemary,2533374336,233357751,4
1124,Wainscot,Bride,7884899606,47204940,6
1125,O'Flaverty,Rosamund,2823129505,191896476,5
1126,Bergeau,Alix,8916192786,252340612,9
1127,Poynter,Auria,6858112950,422147507,3
1128,Kleinhandler,Camel,2898838929,11900232,10
1129,Lapslie,Abey,2784876897,388928075,2
1130,Stanner,Desdemona,6146549547,325828656,7
1131,Treneman,Terrel,1547394151,327102857,9
1132,Tumilson,Madge,8928211472,965703191,3
1133,Cazin,Jemmy,9301785599,240650237,4
1134,Horribine,Sherill,3441656105,873999413,2
1135,Braunthal,Isador,6413664260,302319853,4
1136,Gaskin,Aldric,4521931202,59029703,5
1137,Karpenko,Julius,7017358766,199607530,10
1138,Frantzen,Morena,9635042374,454546888,9
1139,Lenden,Rowen,3658306236,197187094,6
1140,Bothams,Jecho,3221737851,581616802,8
1141,McLeary,Maurits,7711985753,468383123,9
1142,Bloom,Ardella,7505170299,303548308,7
1143,Thurner,Vic,5056972792,87431866,9
1144,Gaddie,Lanette,8052720401,115865068,6
1145,Speirs,Elysee,5025223013,169120691,2
1146,Garrud,Vernon,7944097201,761597606,7
1147,Portlock,Sigismund,4164781959,231668387,8
1148,Triggle,Ignacio,3555326081,413154706,4
1149,Fishley,Candida,6483672550,779473099,5
1150,Winman,Batholomew,6704493088,963782112,1
1151,Faber,Harmon,8724790940,766818562,3
1152,Hundal,Bo,4522372835,447382093,4
1153,Sacks,Atalanta,6485960402,717943709,9
1154,Ciccone,Michael,3258598038,135309073,1
1155,McCoughan,Lonnard,3419996296,596165149,9
1156,Scorton,Bobbe,3204332434,304950286,1
1157,Maken,Lurlene,9391398952,155125149,2
1158,Prout,Tana,6513183320,66082523,6
1159,Snoddon,Steffen,6475242483,367297576,6
1160,Weller,Chrisy,4456688251,838637363,4
1161,Sprigg,Teirtza,7337125617,54689206,7
1162,Tryme,Tori,5226868316,660913997,6
1163,Lafflina,Peta,1106391145,979122790,6
1164,Jardine,Odelle,5584357096,152976742,8
1165,Moseby,Dixie,7974330466,717840665,6
1166,Cockarill,Analise,5212723222,479279071,10
1167,Gennrich,Pearla,7659006550,687341842,2
1168,Werlock,Madella,3425051208,456901169,8
1169,Halwell,Dawna,2887698194,798464824,5
1170,McMorran,Barrie,2679025808,179327022,10
1171,Schoenfisch,Erina,4314566283,525318777,8
1172,Toppin,Onfroi,6949845581,190693264,3
1173,Irwin,Regan,9274563619,771416685,3
1174,Kaaskooper,Nobe,2338053255,214248118,8
1175,Padbery,Ramonda,9902452421,78268013,1
1176,Purrier,Sancho,4517806352,99405610,10
1177,Salan,Bryn,2119587040,948227218,2
1178,Loxston,Perren,6906436667,621347493,3
1179,Sturzaker,Faulkner,2345095053,396537198,9
1180,Cabel,Ophelia,2368356213,559874615,4
1181,Trill,Bear,5796460275,19846296,2
1182,MacManus,Auroora,5352620132,453562214,4
1183,Perks,Aymer,9649325448,994031189,8
1184,Sans,Leia,6644162098,72992419,5
1185,Gostling,Andres,3245261432,517452658,7
1186,Bonhome,Hillery,4472550229,240469495,5
1187,Leare,Roselle,3137400443,876596771,4
1188,Gibbie,Pedro,7202258698,488925670,8
1189,Spenceley,Adaline,5505602753,429884650,10
1190,Blaxall,Rutherford,2268066715,468549688,6
1191,Dinse,Linoel,8747097411,179042756,1
1192,Murphey,Charlotte,4183559819,540149138,7
1193,Giacometti,Glori,3469295538,766992918,8
1194,Local,Elna,4538283779,664611339,9
1195,Gillimgham,Alisa,6578382805,35255028,1
1196,Newbury,Bobine,6855397858,155978278,1
1197,Hovel,Corie,7035085897,342927396,5
1198,Cockrill,Kara-lynn,2803546650,792088016,4
1199,Woodgate,Eli,3854362417,807230324,8
